UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Volkan ÖZTÜRK,@EVozturk,2020-10-13T09:33:22.000Z,"@Turkcell
 @TurkcellHizmet
 #turkcell 
3-önüme koydukları kağıtları imzaladım.  Aldığım hatların sim kartları dahi teslim edilmedi. 7 Ağustos tarihinden 9 Eylül tarihine kadar işlemleri yapması için Turkcell çalışanını sürekli aradım ve mesaj attım.",,,,
Volkan ÖZTÜRK,@EVozturk,2020-10-13T09:31:21.000Z,"@Turkcell
 @TurkcellHizmet
 #turkcell 
2-sonrasında kullandığım bir hattım için 15 gb+1000 dak. için 12 ay (ya da 24 ay için) fatura ödemeyeceğimi, kullandığım diğer hattım için ise, 4 gb+1000 dk için aylık 29TL (ya da 30 TL)  bedel ödeyeceğimi ilettiler. Bende kabul ederek önüme",,1,,
Akasya,@akasyaacibadem,2020-10-13T09:16:59.000Z,"Turkcell Akasya’da seçili iPhone modellerinde 300TL, AirPods 150TL ve seçili aksesuarlarda %30 indirim fırsatından yararlanmak linke tıklayarak uygulamayı indirmeyi unutmayın!
http://bit.ly/3doFW4W

#Akasya #AkasyaMobil #Turkcell #iphone #AirPods #Kampanya #İndirim",📱 🎧,,,1
Çekilişlerim,@cekilislerimcom,2020-10-13T08:47:54.000Z,"Turkcell Bizce Uygulaması 5 Adet Samsung Note 10+ Çekilişi! 
https://cekilislerim.com/turkcell-bizce-uygulamasi-samsung-note-10-cekilisi/…

#çekiliş #çekilişvar #turkcell #bizce #yarışma #kampanya #indirim #samsung #samsungnote10plus #note10plus #samsungnote #akıllıtelefonTurkcell Bizce Uygulaması Samsung Note 10+ Çekilişi
Turkcell Bizce Uygulamasında bulunan katılım formunu 08.10.2020 - 07.11.2020 tarihleri arasında her gün doldurarak 31 çekiliş hakkı edinip Samsung Note
cekilislerim.com",,,,
Sefer,@Sefer59190967,2020-10-13T07:57:52.000Z,"Replying to 
@TurkcellHizmetHerkes değil şuana kadar 3 kişi aynı problemi yaşıyor #turkcell",,2,,
Sefer,@Sefer59190967,2020-10-13T07:54:54.000Z,"Sabahtan beri turkcell hattı çekmeyen sadece ben miyim #turkcell 
#turkcelcevapver
#turkcellşebekeyok",,1,,
Burak the Yargı Maşın,@BurakTore0,2020-10-13T07:17:57.000Z,Güne #Turkcell’i olarak uyanmanın bana verdiği yetkiye dayanarak güüüünaaaaaydınnnnnn ,❤,3,,18
Ferit KÖSE,@frtkose_frtkose,2020-10-13T03:41:37.000Z,"Replying to 
@ahmetguventpAslında yapılması gereken çoğu analizi yaptınız öncelikle teşekkür ederim Ahmet Hocam.
#garan
#Turkcell 
Birde bist30 endeks analizi yaparsanız faydalı olur.",,,,
𝐀𝐂𝐘 ✪,@IT_Uzmani,2020-10-12T22:47:52.000Z,"Bu 10/1 hız sizin başarınız Avrupa’ın en pahalı internetini sunan servis sağlayıcı. #superonline 
#Turkcell 
@Turkcell
 @SuperYardim
 @TurkcellHizmet
 @SuperonlineNet",🏆 🌎 🌍 🌏 👏 👏 👏 👏 👏,1,,
Ramazan,@Rmzndemirko2,2020-10-12T21:24:48.000Z,"Size tek tavsiyem #turkcell ile ilgili hattınız internetiniz varsa iptaline hemen başvurun derim daha fazla kandırılmayın hiçbir şekilde yar olmuyorlar kandırmaktan başka 
@Murat__Erkan
 @TurkcellHizmet
 @Turkcell
 @Trkcellfiberint
  tüm dostlara inanın tavsiym baz geçin 
@Turkcell
 den",,,,
Kimse,@Mayba71731506,2020-10-12T18:07:12.000Z,"Replying to 
@HakkiKartal1914
 @BuyukAItay
 and 
@VodafoneDestekSen ölçebilmişsin biz siteye bile giriş yapamıyoruz #turkcell superbox ile.. üstüne emin ol senden çok daha fazla para veriyoruz..",👑 👑 👑 👑,1,,1
şuşu,@_susu_88,2020-10-12T18:00:05.000Z,#turkcell taahhüt vermem için neden bu kadar uğraşıyorsun?  söz verecek olsam evlenirim beybisi ,🤫 😉,,,8
Murat MEŞE,@muratmese06,2020-10-12T17:11:34.000Z,"#FOXHaberİhbarHattı #Turkcell tarafından dolandırılıp kandırıldım
mevcut tarifemin bittiğini tablet hediyeli tarifeye geçmemi sundular kabul ettim paket fiyatım yükseldi tabi tablet arızalı çıktı değişim ve iade yok diyorlar milleti kandırıp fazla ücret  alıyorlar lütfen yardım",,,,
Sertaç Darcan,@sertacdarcan,2020-10-12T16:44:32.000Z,"EVET 
 @Turkcell
 NE YAPACAKSINIZ YARDIM ? #turkcell",➡,,,1
Çekirdekçi Faruk,@faruk77,2020-10-12T16:32:32.000Z,#turkcell #Spotify,,,,1
İsmail Meneviş,@MenevisIsmail,2020-10-12T16:15:38.000Z,"Replying to 
@takasmatik2#Turkcell teşekkürler",,,,
Musa Yılmaz,@MusaYlm98197470,2020-10-12T15:51:56.000Z,"@Trkcellfiberint
 @trkcell1000
#Turkcell 
@iletisim
 @sikayetblog
 
Öğlen 1""den beri arızanın olduğu bildirilip aciliyet olduğu halde ilgisizliğin hat saf olduğunu bildiririm?
İnsanlar szlere nsl ödrme yapıyrsa szlrde ilgiye alakadr olmanz grk.
#türkcell #süperonline",,2,,
Aysunn,@AysunBaskra,2020-10-12T15:15:09.000Z,"İnternet taşımak ve yeni kampanya ile ilgili bilgi  almak  istiyoruz ama müşteri hizmet bağlanamıyoruz. 2 kişi önünüzde deyip numaranızı not aldık deyip yüzümüze kapatıyorsunz. Şehir değiştirdik. Ve evden çalışmak zorundayız ama  internet yok MAĞDURUZ...
#Turkcell #superonline",,4,1,3
kudi,@zeynalcnn,2020-10-12T13:04:10.000Z,"Tam 3 haftadır ev internetim yok, defalarca kez aradım, arıza kaydı defalarca oluşturdum hala bi sonuç alamadım şaka gibisiniz 
@Turkcell
 @TurkcellHizmet
 #superonline #turkcell",,2,1,13
Озґюр,@ThaiKhe,2020-10-12T10:56:32.000Z,"@Turkcell
 #Turkcell 
@tuketicigundemi
 @TuketiciBasvuru
 @tuketicikanunu
 @tuketicipostasi
 @BTKbasin
 Neden sadece 3 paketi seçmek zorundayız. Abonelerinize, zorla sadece 3 paket dayatıyorsunuz. Akıllı telefon ve internet kullanmayan biri neden İnternete, zorla para ödemek zorunda?",,2,,2
